0, 1, 6450
0, 2, 10911
0, 3, 269
0, 4, 6684
0, 5, 419
0, 6, 7073
0, 7, 6752
0, 8, 630
0, 9, 7257
0, 10, 7202
0, 11, 6716
0, 12, 7184
0, 13, 7178
0, 14, 6337
0, 15, 6566
0, 16, 2743
0, 17, 6700
0, 18, 7128
0, 19, 5666
0, 20, 5048
0, 21, 6315
0, 22, 1566
0, 23, 10681
0, 24, 6337
0, 25, 3258
0, 26, 1257
0, 27, 6127
0, 28, 6900
0, 29, 7217
0, 30, 1911
0, 31, 3669
0, 32, 4612
0, 33, 7129
0, 34, 5593
0, 35, 7531
0, 36, 7584
0, 37, 3911
0, 38, 7721
0, 39, 3443
0, 40, 3298
0, 41, 1380
0, 42, 5069
0, 43, 6781
0, 44, 3078
0, 45, 4954
0, 46, 6743
0, 47, 6252
0, 48, 3061
0, 49, 4694
0, 50, 645
0, 51, 7321
0, 52, 6843
0, 53, 6343
0, 54, 5377
0, 55, 7628
0, 56, 6878
0, 57, 6041
0, 58, 1786
0, 59, 2889
0, 60, 6432
0, 61, 1581
0, 62, 6802
0, 63, 1546
0, 64, 5745
0, 65, 5666
0, 66, 1363
0, 67, 829
0, 68, 6546
0, 69, 6546
0, 70, 7724
0, 71, 1065
0, 72, 6351
0, 73, 7293
0, 74, 981
0, 75, 7058
0, 76, 7430
0, 77, 803
0, 78, 6871
0, 79, 5024
0, 80, 6527
0, 81, 1708
0, 82, 6566
0, 83, 7292
0, 84, 7235
0, 85, 6569
0, 86, 760
0, 87, 6858
0, 88, 4921
0, 89, 10917
0, 90, 6725
1, 2, 7115
1, 3, 6741
1, 4, 359
1, 5, 6890
1, 6, 1019
1, 7, 1203
1, 8, 7101
1, 9, 3462
1, 10, 3406
1, 11, 328
1, 12, 3388
1, 13, 3382
1, 14, 721
1, 15, 116
1, 16, 3154
1, 17, 250
1, 18, 3333
1, 19, 1871
1, 20, 2396
1, 21, 1332
1, 22, 4172
1, 23, 6886
1, 24, 1353
1, 25, 2740
1, 26, 7728
1, 27, 323
1, 28, 450
1, 29, 1567
1, 30, 4965
1, 31, 2069
1, 32, 2832
1, 33, 3334
1, 34, 1851
1, 35, 3736
1, 36, 1131
1, 37, 1882
1, 38, 1268
1, 39, 3022
1, 40, 3057
1, 41, 7851
1, 42, 794
1, 43, 608
1, 44, 3819
1, 45, 1433
1, 46, 1129
1, 47, 1160
1, 48, 3453
1, 49, 1099
1, 50, 7116
1, 51, 3525
1, 52, 1230
1, 53, 1069
1, 54, 2066
1, 55, 3833
1, 56, 1265
1, 57, 1104
1, 58, 4685
1, 59, 3630
1, 60, 980
1, 61, 4890
1, 62, 3006
1, 63, 4925
1, 64, 705
1, 65, 784
1, 66, 5108
1, 67, 7300
1, 68, 1410
1, 69, 1410
1, 70, 3928
1, 71, 5407
1, 72, 99
1, 73, 3497
1, 74, 5623
1, 75, 885
1, 76, 3634
1, 77, 7275
1, 78, 1107
1, 79, 3634
1, 80, 763
1, 81, 4763
1, 82, 2770
1, 83, 1642
1, 84, 3440
1, 85, 576
1, 86, 7231
1, 87, 684
1, 88, 3530
1, 89, 7122
1, 90, 961
2, 3, 11180
2, 4, 7349
2, 5, 11329
2, 6, 7979
2, 7, 6918
2, 8, 11541
2, 9, 5749
2, 10, 5693
2, 11, 7381
2, 12, 5675
2, 13, 5669
2, 14, 7883
2, 15, 7231
2, 16, 8327
2, 17, 7365
2, 18, 5620
2, 19, 5244
2, 20, 5863
2, 21, 5986
2, 22, 9345
2, 23, 229
2, 24, 6008
2, 25, 7757
2, 26, 12167
2, 27, 6792
2, 28, 7565
2, 29, 5688
2, 30, 10059
2, 31, 8384
2, 32, 6299
2, 33, 5621
2, 34, 5318
2, 35, 6023
2, 36, 7750
2, 37, 7128
2, 38, 7887
2, 39, 8347
2, 40, 8382
2, 41, 12291
2, 42, 6610
2, 43, 7514
2, 44, 9145
2, 45, 7250
2, 46, 8289
2, 47, 7799
2, 48, 8778
2, 49, 6916
2, 50, 11555
2, 51, 5812
2, 52, 8390
2, 53, 7889
