9223372036854775807	6450	10911	269	6684	419	7073	6752	630	7257	7202	6716	7184	7178	6337	6566	2743	6700	7128	5666	5048	6315	1566	10681	6337	3258	1257	6127	6900	7217	1911	3669	4612	7129	5593	7531	7584	3911	7721	3443	3298	1380	5069	6781	3078	4954	6743	6252	3061	4694	645	7321	6843	6343	5377	7628	6878	6041	1786	2889	6432	1581	6802	1546	5745	5666	1363	829	6546	6546	7724	1065	6351	7293	981	7058	7430	803	6871	5024	6527	1708	6566	7292	7235	6569	760	6858	4921	10917	6725
6450	9223372036854775807	7115	6741	359	6890	1019	1203	7101	3462	3406	328	3388	3382	721	116	3154	250	3333	1871	2396	1332	4172	6886	1353	2740	7728	323	450	1567	4965	2069	2832	3334	1851	3736	1131	1882	1268	3022	3057	7851	794	608	3819	1433	1129	1160	3453	1099	7116	3525	1230	1069	2066	3833	1265	1104	4685	3630	980	4890	3006	4925	705	784	5108	7300	1410	1410	3928	5407	99	3497	5623	885	3634	7275	1107	3634	763	4763	2770	1642	3440	576	7231	684	3530	7122	961
10911	7115	9223372036854775807	11180	7349	11329	7979	6918	11541	5749	5693	7381	5675	5669	7883	7231	8327	7365	5620	5244	5863	5986	9345	229	6008	7757	12167	6792	7565	5688	10059	8384	6299	5621	5318	6023	7750	7128	7887	8347	8382	12291	6610	7514	9145	7250	8289	7799	8778	6916	11555	5812	8390	7889	5533	6120	8424	7587	11001	8956	7978	11206	5293	11240	7021	7099	11423	11739	6712	6712	6215	10534	7016	5784	10451	7844	5921	11714	8181	9949	7878	11078	5057	5907	5727	7691	11671	7644	9846	7	8076
269	6741	11180	9223372036854775807	6954	473	7343	7022	684	7527	7471	6985	7453	7448	6606	6836	3013	6970	7398	5936	5317	6584	1835	10951	6606	3528	1178	6397	7170	7486	2180	3938	4881	7399	5862	7801	7854	4181	7990	3712	3568	900	5339	7051	3348	5223	7012	6522	3331	4963	375	7590	7113	6612	5647	7898	7147	6310	2055	3159	6701	1850	7071	1816	6014	5936	1633	559	6815	6815	7993	1334	6621	7562	1251	7328	7699	534	7141	5294	6796	1978	6835	7562	7505	6838	491	7127	5190	11187	6995
6684	359	7349	6954	9223372036854775807	7124	1024	1208	7335	3696	3640	31	3622	3617	725	243	3388	109	3567	2105	2630	1566	4406	7120	1587	2975	7962	557	454	1801	5200	2303	3066	3568	2085	3970	1135	2116	1272	3256	3291	8086	1028	612	4054	1668	1134	1164	3687	1334	7350	3759	1234	1073	2300	4067	1269	1108	4920	3865	984	5125	3241	5159	940	1018	5342	7534	1414	1414	4163	5641	458	3731	5857	889	3868	7509	1111	3868	767	4997	3005	1876	3674	580	7465	689	3764	7356	966
419	6890	11329	473	7124	9223372036854775807	7492	7171	211	7676	7620	7134	7602	7597	6756	6985	3162	7119	7547	6085	5467	6734	1984	11100	6755	3677	838	6546	7319	7636	2329	4087	5030	7548	6011	7950	8003	4330	8140	3862	3717	962	5488	7200	3497	5373	7162	6671	3480	5112	848	7739	7262	6761	5796	8047	7297	6459	2205	3308	6850	1999	7221	1965	6163	6085	1782	1032	6964	6964	8143	1483	6770	7711	1400	7477	7848	1007	7290	5443	6945	2127	6985	7711	7654	6987	964	7276	5339	11336	7144
7073	1019	7979	7343	1024	7492	9223372036854775807	1061	7725	4326	4270	992	4252	4246	650	903	3777	915	4196	2734	3259	2195	4795	7749	2217	3364	8351	1342	569	2430	5589	2692	3696	4198	2715	4599	988	2746	1125	3645	3680	8475	1657	465	4443	2297	1059	1089	4076	1963	7739	4389	1159	998	2930	4696	1194	1033	5309	4254	909	5514	3870	5548	1725	1803	5731	7923	1267	1267	4792	6030	1118	4361	6246	134	4498	7898	202	4257	547	5386	3634	2506	4303	624	7855	335	4154	7986	348
6752	1203	6918	7022	1208	7171	1061	9223372036854775807	7403	3265	3209	1176	3191	3186	954	1087	3013	1099	3136	1674	2199	1135	4031	6689	1156	2407	8030	779	753	1370	5268	2371	2635	3137	1654	3539	832	1685	969	3324	3359	8154	597	595	4122	1237	1362	1392	3755	903	7418	3328	1462	1301	1869	3636	1497	1336	4987	3933	1213	5193	2809	5227	1008	1086	5410	7602	206	206	3731	5709	1003	3300	5925	926	3437	7577	1263	3936	995	5065	2574	1445	3243	808	7533	725	3832	6925	1194
630	7101	11541	684	7335	211	7725	7403	9223372036854775807	7887	7832	7346	7814	7808	6967	7196	3373	7330	7758	6296	5678	6945	2196	11311	6966	3888	627	6757	7530	7847	2541	4299	5242	7759	6223	8161	8214	4541	8351	4073	3928	750	5699	7411	3708	5584	7373	6882	3691	5324	1060	7951	7473	6973	6007	8258	7508	6671	2416	3519	7062	2211	7432	2176	6375	6296	1993	1243	7176	7176	8354	1695	6981	7923	1611	7688	8060	1218	7501	5654	7157	2338	7196	7922	7865	7199	1175	7488	5551	11547	7355
7257	3462	5749	7527	3696	7676	4326	3265	7887	9223372036854775807	652	3712	670	675	4214	3562	4658	3696	392	1575	2194	2317	5676	5520	2339	4089	8498	3123	3896	2019	6390	4715	2630	644	1649	678	4081	3459	4218	4678	4713	8622	2941	3845	5476	3581	4620	4130	5109	3247	7886	63	4721	4220	1864	581	4755	3918	7332	5287	4309	7537	540	7572	3352	3430	7755	8070	3043	3043	606	6865	3347	561	6782	4175	172	8045	4512	6280	4209	7409	776	2238	22	4022	8002	3975	6177	5756	4407
